complaint_text,category,priority
Burning tyres near housing society causing black smoke pollution,Waste Management,High
Youth gathering and fighting near post office park regularly at night,Public Safety,High
Open defecation near civil hospital water source contaminating drinking supply,Sanitation,Critical
"No water supply in Ward E for 48 hours, elderly residents unable to manage",Water,High
E-waste dumped illegally near Ward D residential lane,Waste Management,High
"Road gutter work left open near metro station, no barricades or lights at night",Roads,High
Leaking underground pipe near Sector 7 making road surface soft and sinking,Water,High
Local resident complaint: rag pickers leaving scattered waste near Ward C after sorting through bins,Sanitation,Medium
Speed breaker missing warning sign at near community hall stretch,Roads,Medium
Citizens request action on: household waste regularly thrown into drain at near industrial zone by nearby shops,Drainage,Medium
"Streetlight near bus stand park out for 3 days, dark patch on road at night",Electrical,Medium
Pedestrians forced to walk on road near Ward D because footpath completely broken,Roads,Medium
Flash flooding from overflowing storm drain trapping residents at Ward G,Drainage,Critical
"Critical issue: dead animals thrown in drain near vegetable market, immediate removal needed",Sanitation,High
Bumpy road surface near railway station causing back pain complaints from daily commuters,Roads,Low
"Trees grown into electric lines near water tank, trimming needed urgently",Electrical,Medium
Request for reflective boundary markers near bus stand park wall,Public Safety,Low
Irregular water supply timing in near railway station making daily planning difficult for residents,Water,Medium
"Water supply has been absent at Sector 7 for 6 days, families buying expensive tankers",Water,High
"Road construction near police station stopped midway 3 months ago, incomplete work causing hazard",Roads,High
Ongoing problem since days: rainwater outlet near metro station blocked by plastic waste for 2 weeks,Drainage,High
"Construction vehicle parked on busy road near vegetable market since 3 days, blocking lane",Traffic,High
Water supply schedule changed without notice causing confusion in near bank,Water,Medium
Drain gradient wrong near grain market causing water to flow backward onto road,Drainage,Medium
Footpath blocked by construction material near civil hospital forcing pedestrians onto road,Roads,Medium
Drain near metro station completely blocked causing 4-day waterlogging,Drainage,High
Repeated complaint about household waste regularly thrown into drain at Ward F by nearby shops,Drainage,Medium
Garden waste not collected near overbridge park for 4 days,Waste Management,Medium
"Drain repair work near toll plaza completed poorly, same problem recurring every rain",Drainage,Medium
Parking dispute near Sector 4 market causing small arguments,Public Safety,Low
Stray dogs scattering garbage near overbridge colony every night,Sanitation,Medium
"No road discipline near Ward B junction, drivers ignoring markings",Traffic,Medium
Electricity meter replaced at near fire station but billing not updated for 3 months,Electrical,Medium
E-waste collection drive needed in near fire station sector,Waste Management,Low
"Road construction near municipal school stopped midway 10 months ago, incomplete work causing hazard",Roads,High
Electric meter reading not conducted in near water tank ward for 2 months,Electrical,Medium
Pipeline installed 6 months ago near community hall already cracked and leaking,Water,High
Wet market waste near Ward B lying for 2 days attracting stray animals,Waste Management,High
Youth gathering and fighting near flyover park regularly at night,Public Safety,High
Park boundary wall broken at Sector 7 allowing encroachment,Public Safety,Medium
Water supply adequate but scheduling awareness lacking in near housing society new colony,Water,Low
Tilting electric pole near Sector 12 hospital about to fall on road,Electrical,Critical
Garbage collected from near main market but dumped near main market park instead of depot,Sanitation,Medium
Local resident complaint: drain cleaning vehicle requested for near river bridge area before upcoming monsoon,Drainage,Medium
"Giant sinkhole opened on main road near municipal school, vehicle partially swallowed",Roads,Critical
Sewer line blocked near metro station causing wet patches in the road surface,Drainage,High
Rodents and flies spreading from massive garbage pile near Ward A maternity ward,Sanitation,Critical
"Dead animals thrown in drain near Sector 7, immediate removal needed",Sanitation,High
"Complaint from resident: underground cable at near industrial zone damaged during road digging, supply affected",Electrical,High
"Ward representative reporting: no road discipline near Ward A junction, drivers ignoring markings",Traffic,Medium
"Trucks reversing on Ward D road without helper, hit a scooter yesterday",Traffic,High
School van almost hit due to blind turn near grain market without any mirror,Traffic,High
"Open sewer at near sports complex during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Ward representative reporting: garbage collected from near petrol pump but dumped near petrol pump park instead of depot,Sanitation,Medium
Ward representative reporting: speed guns needed at Ward G stretch where overspeeding is daily complaint,Traffic,Medium
Illegal garbage dumping near vegetable market residential area creating serious health risk,Sanitation,High
Overloaded waste truck spilling garbage on roads near primary school,Waste Management,High
Household garbage bags left on road at near primary school not being picked up for 2 days,Waste Management,High
Leaking underground pipe near sports complex making road surface soft and sinking,Water,High
Open electrical panel near old age home play area accessible to children,Public Safety,Critical
Flash flooding from overflowing storm drain trapping residents at near garbage depot,Drainage,Critical
"Drain repair work near overbridge completed poorly, same problem recurring every rain",Drainage,Medium
Multiple families wading in sewage water at near overbridge ward due to main drain failure,Drainage,Critical
"Road at near sewage treatment plant underpass flooded 3 feet deep, vehicles submerged",Roads,Critical
COVID waste disposal not happening at isolation centre near Ward G,Sanitation,Critical
Local resident complaint: cOVID waste disposal not happening at isolation centre near civil hospital,Sanitation,Critical
"Underground cable at near civil hospital damaged during road digging, supply affected",Electrical,High
E-waste dumped illegally near industrial zone residential lane,Waste Management,High
Request for speed breaker near overbridge school gate,Traffic,Low
Local resident complaint: pedestrians forced to walk on road near cremation ground because footpath completely broken,Roads,Medium
Uncleared construction debris at Sector 12 causing night-time road accidents,Roads,High
"Wet and dry waste mixed by residents near municipal office, needs awareness drive",Waste Management,Medium
"Electric junction box near Ward D submerged in rainwater, risk of electrocution",Electrical,Critical
Very low water pressure in near industrial zone colony taps for over a week,Water,Medium
Tractor blocking near primary school road during harvest season causing daily backup,Traffic,Medium
"Live wire hanging at child head height over road near Ward H school, emergency",Electrical,Critical
Follow-up complaint: rag pickers leaving scattered waste near Ward E after sorting through bins,Sanitation,Medium
Signal timing adjustment needed at near sewage treatment plant roundabout,Traffic,Low
Exposed underground cable after digging work near civil hospital bus stand,Electrical,High
"No road discipline near bus stand junction, drivers ignoring markings",Traffic,Medium
"Sanitation worker arriving slightly late in Ward D lane, minor issue",Sanitation,Low
Pedestrians forced to walk on road near railway station because footpath completely broken,Roads,Medium
Tilting electric pole near Ward H hospital about to fall on road,Electrical,Critical
"Follow-up complaint: bridge surface near government hospital developed cracks, heavy vehicles still using it",Roads,Critical
Garbage truck regularly missing Sector 7 lane in daily route,Waste Management,Medium
Overflowing sewage at near highway road during heavy rain entering shops and homes,Drainage,High
Broken electric insulator on pole near sports complex sparking during rainfall,Electrical,High
"Road construction near flyover stopped midway 2 months ago, incomplete work causing hazard",Roads,High
"No zebra crossing near railway station school, students crossing dangerously",Traffic,Medium
Youth vandalising public property near water tank park on weekends,Public Safety,Medium
"Signal cycle too short at near primary school junction, vehicles piling up",Traffic,Medium
Youth vandalising public property near police station park on weekends,Public Safety,Medium
Complaint from resident: local shop dumping polythene bags near sewage treatment plant drain daily,Waste Management,Medium
"Streetlight at near community hall glowing orange instead of white, likely failing",Electrical,Medium
Illegal parking near police station market reducing road width during evenings,Traffic,Medium
"Dog bites reported near Sector 2 from a pack of strays, residents afraid",Public Safety,High
"No sanitation visit to Ward A for a week, waste piling on streets",Sanitation,High
"Street dog carcass on road near civil hospital for 6 days, nobody removing it",Sanitation,High
"Streetlight at Ward C glowing orange instead of white, likely failing",Electrical,Medium
Only one signal colour working at near housing society junction causing dangerous confusion,Traffic,High
"Metering box door missing near sewage treatment plant road, rain entering daily",Electrical,Medium
Demolition rubble blocking entire footpath near post office for over a week,Waste Management,High
Youth vandalising public property near Sector 4 park on weekends,Public Safety,Medium
Critical issue: electricity meter replaced at near flyover but billing not updated for 14 months,Electrical,Medium
Ongoing problem since days: anti-social elements gambling openly near Sector 9 temple road at night,Public Safety,Medium
Request for speed bump near temple road to control rash driving,Public Safety,Low
Electricity meter replaced at near children's park but billing not updated for 3 months,Electrical,Medium
"Drain cover missing at near highway road crossing, two-wheeler already fell in last evening",Drainage,High
Ward representative reporting: wet market waste near industrial zone lying for 10 days attracting stray animals,Waste Management,High
Open defecation near cremation ground water source contaminating drinking supply,Sanitation,Critical
"Seasonal drain near stadium overgrown with vegetation, blocking water flow",Drainage,Medium
"Complaint from resident: zebra crossing near bank completely faded, pedestrians confused",Traffic,Low
"Ward representative reporting: drain repair work near Ward E completed poorly, same problem recurring every rain",Drainage,Medium
"Road blocked at near overbridge due to large protest, ambulances completely unable to pass",Traffic,Critical
Repeated complaint about new housing colony at Ward C has no water connection despite full occupancy,Water,Medium
Stray cattle on road near bus stand causing minor inconvenience,Public Safety,Low
"School van damaged due to pothole near vegetable market, parents upset and worried",Roads,Medium
E-waste collection drive needed in Sector 7 sector,Waste Management,Low
Footpath blocked by construction material near Sector 7 forcing pedestrians onto road,Roads,Medium
Electricity meter replaced at Ward B but billing not updated for 2 months,Electrical,Medium
"Drunk driving incident near main market last night, no police present",Public Safety,High
Garbage collection vehicle skipping near municipal office sector for 3 days,Sanitation,Medium
"Municipal water pressure test needed at near river bridge, residents getting almost no flow",Water,High
"Trees grown into electric lines near Sector 4, trimming needed urgently",Electrical,Medium
Awareness drive needed for waste segregation in near police station ward,Waste Management,Low
Local resident complaint: school van almost hit due to blind turn near municipal school without any mirror,Traffic,High
Shop renovation debris dumped on near cremation ground footpath,Waste Management,Medium
"Underground cable at Sector 2 damaged during road digging, supply affected",Electrical,High
"Housing society drain near garbage depot reduced flow, needs cleaning",Drainage,Medium
Faint foul smell from drain near grain market park in evenings only,Drainage,Low
"Critical issue: street dog carcass on road near housing society for 14 days, nobody removing it",Sanitation,High
Ward representative reporting: heavy rain caused traffic chaos at near overbridge due to waterlogging on road,Traffic,High
"Road construction near civil hospital stopped midway 2 months ago, incomplete work causing hazard",Roads,High
Head-on collision of truck and bus near municipal office blocking all four lanes,Traffic,Critical
Urgent issue reported: rainwater outlet near main market blocked by plastic waste for 6 weeks,Drainage,High
Waste paper scattered on road near river bridge after local event,Sanitation,Low
Follow-up complaint: street vendor harassing women near municipal school bus stand daily,Public Safety,Medium
"Ongoing problem since days: trucks reversing on near overbridge road without helper, hit a scooter yesterday",Traffic,High
"Electric junction box near new colony submerged in rainwater, risk of electrocution",Electrical,Critical
One of four streetlights not working near school area garden,Electrical,Low
Water connection pipe near garbage depot vibrating loudly during supply hours,Water,Medium
Ongoing problem since days: rainwater outlet near Ward B blocked by plastic waste for 10 weeks,Drainage,High
"Road cave-in near water tank expanding every day, needs immediate patching",Roads,High
Hawkers occupying half the road near Ward H bus stand,Traffic,Medium
Open defecation near community hall water source contaminating drinking supply,Sanitation,Critical
Stray cattle blocking road near flyover residential colony,Public Safety,Medium
"Unresolved problem: street dog carcass on road near grain market for 10 days, nobody removing it",Sanitation,High
Compost bins near Sector 9 park overflowing and not emptied,Sanitation,Medium
"High tension wire touching wet tree branches near water tank, fire risk imminent",Electrical,Critical
Heavy rain caused traffic chaos at Ward C due to waterlogging on road,Traffic,High
Sanitation worker complaint: not provided gloves or safety equipment at near bank,Sanitation,Medium
"No waste collection for 5 days in near new colony ward, dengue alert issued",Waste Management,High
Municipal bins near Sector 2 market overflowing since 3 days,Sanitation,High
Illegal liquor shop operating openly near housing society school zone,Public Safety,High
"Citizens request action on: zebra crossing near police station completely faded, pedestrians confused",Traffic,Low
"Entire near toll plaza road dark at night due to light failure, robberies increasing",Public Safety,High
Follow-up complaint: street vendor harassing women near Ward B bus stand daily,Public Safety,Medium
"Complaint from resident: underground cable at near civil hospital damaged during road digging, supply affected",Electrical,High
No parking sign missing near stadium municipal building,Traffic,Low
E-waste collection drive needed in near vegetable market sector,Waste Management,Low
"Critical issue: water supply has been absent at Sector 9 for 2 days, families buying expensive tankers",Water,High
"Drain overflow sending raw sewage directly into homes in near children's park, health emergency",Drainage,Critical
Citizens request action on: sewer line blocked near Ward F causing wet patches in the road surface,Drainage,High
Pedestrians forced to walk on road near public garden because footpath completely broken,Roads,Medium
Request to install water ATM near civil hospital colony for convenience,Water,Low
Heavy voltage fluctuation in near garbage depot area damaging refrigerators and TVs,Electrical,Medium
Daily 2-hour traffic jam at Ward F due to road encroachment by vendors,Traffic,High
"Metering box door missing near children's park road, rain entering daily",Electrical,Medium
Garbage collected from Ward H but dumped near Ward H park instead of depot,Sanitation,Medium
Small surface crack near river bridge colony boundary wall needs minor repair,Roads,Low
Illegal liquor shop operating openly near Ward C school zone,Public Safety,High
"Painting of water pipeline poles peeling near Ward D, cosmetic issue",Water,Low
"Littering near flyover park, needs awareness board",Sanitation,Low
Choked storm drain near railway station floods road with every rainfall,Drainage,High
"Local resident complaint: water available only at odd hours near public garden, residents missing their work",Water,Medium
Request for road widening near public garden residential narrow lane,Roads,Low
Request to build new drainage channel in near sewage treatment plant colony,Drainage,Low
Drain gradient wrong near Ward B causing water to flow backward onto road,Drainage,Medium
"Violent mob gathering at Sector 7 main road, police needed urgently",Public Safety,Critical
Household waste regularly thrown into drain at near slum area by nearby shops,Drainage,Medium
"Water available only at odd hours near civil hospital, residents missing their work",Water,Medium
Sanitation worker complaint: not provided gloves or safety equipment at near public garden,Sanitation,Medium
Rag pickers leaving scattered waste near petrol pump after sorting through bins,Sanitation,Medium
"Streetlight at near stadium glowing orange instead of white, likely failing",Electrical,Medium
Road near sewage treatment plant underpass flooding during even moderate rainfall,Roads,High
Ward representative reporting: bumpy road surface near toll plaza causing back pain complaints from daily commuters,Roads,Low
Critical issue: no awareness about bio-medical waste in Ward C area near clinic,Waste Management,Medium
"No waste collection for 5 days in near industrial zone ward, dengue alert issued",Waste Management,High
Sanitation worker complaint: not provided gloves or safety equipment at Sector 4,Sanitation,Medium
Bumpy road surface near Ward D causing back pain complaints from daily commuters,Roads,Low
"Truck fell into open trench on Ward B road, driver critically injured",Roads,Critical
Multiple electric poles visibly tilted near Sector 2 after last week's storm,Electrical,High
"No road discipline near civil hospital junction, drivers ignoring markings",Traffic,Medium
Local resident complaint: bumpy road surface near children's park causing back pain complaints from daily commuters,Roads,Low
"Underground water main burst at near public garden junction, colony dry since yesterday evening",Water,Critical
Youth vandalising public property near flyover park on weekends,Public Safety,Medium
Broken road edge near Ward G causing vehicles to swerve occasionally,Roads,Medium
Bumpy road surface near municipal school causing back pain complaints from daily commuters,Roads,Low
Electric supply failure near petrol pump for 10 hours during examinations,Electrical,High
Head-on collision of truck and bus near petrol pump blocking all four lanes,Traffic,Critical
Toilet block near grain market park locked and inaccessible for months,Sanitation,High
"Road gutter work left open near industrial zone, no barricades or lights at night",Roads,High
Drain cleaning vehicle requested for near flyover area before upcoming monsoon,Drainage,Medium
"Woman felt followed near post office late at night, no patrol visible",Public Safety,High
Unresolved problem: heavy rain caused traffic chaos at near flyover due to waterlogging on road,Traffic,High
Wrong-way driving common near primary school market without police enforcement,Traffic,Medium
Sewer line blocked near children's park causing wet patches in the road surface,Drainage,High
18-hour power outage in near new colony area with no official update or timeline,Electrical,High
Electric supply failure near college for 3 hours during examinations,Electrical,High
Security light near Sector 9 community hall not working,Public Safety,Low
"Waste compost site near Sector 12 not maintained, rotting smell affecting residents",Waste Management,Medium
"Underground cable at Sector 7 damaged during road digging, supply affected",Electrical,High
Hawkers occupying half the road near post office bus stand,Traffic,Medium
Electricity meter replaced at Sector 9 but billing not updated for 5 months,Electrical,Medium
"Garbage not picked up in near college ward for 7 days, unbearable stench",Sanitation,High
"Road cave-in near new colony expanding every day, needs immediate patching",Roads,High
Multiple large potholes on Sector 12 main road causing daily vehicle damage,Roads,High
Autorickshaw stand blocking road near Ward B during office hours,Traffic,Medium
"Zebra crossing near community hall completely faded, pedestrians confused",Traffic,Low
Local shop dumping polythene bags near Ward G drain daily,Waste Management,Medium
Wet market waste near garbage depot lying for 7 days attracting stray animals,Waste Management,High
"Bridge surface near old age home developed cracks, heavy vehicles still using it",Roads,Critical
Recyclables not separated at Ward D collection point,Waste Management,Medium
Unresolved problem: burning tyres near toll plaza causing black smoke pollution,Waste Management,High
Street vendor harassing women near children's park bus stand daily,Public Safety,Medium
Broken electric insulator on pole near Ward C sparking during rainfall,Electrical,High
Electric meter reading not conducted in near grain market ward for 2 months,Electrical,Medium
"Ward representative reporting: dead animals thrown in drain near cremation ground, immediate removal needed",Sanitation,High
E-waste collection drive needed in near old age home sector,Waste Management,Low
"Drainage grate near flyover partially rusted, reducing opening",Drainage,Low
Heavy rain caused traffic chaos at near river bridge due to waterlogging on road,Traffic,High
Rainwater outlet near Sector 2 blocked by plastic waste for 5 weeks,Drainage,High
Request for traffic signal at busy near college crossing,Traffic,Medium
"Child fell into uncovered manhole near industrial zone school yesterday, hospitalised",Drainage,Critical
Repeated complaint about pipe connection outside Sector 9 building dug up but not restored for 2 weeks,Water,Medium
Speed guns needed at Ward E stretch where overspeeding is daily complaint,Traffic,Medium
"Ward representative reporting: road construction near water tank stopped midway 5 months ago, incomplete work causing hazard",Roads,High
Open garbage burning near Sector 12 causing air quality complaints,Waste Management,High
"Heavy vehicles illegally using near overbridge residential road, damaging surface",Traffic,High
"Garbage uncollected for 10 days near fire station hospital, disease outbreak risk",Sanitation,Critical
Ward representative reporting: burning tyres near grain market causing black smoke pollution,Waste Management,High
"Garbage uncollected for 10 days near garbage depot hospital, disease outbreak risk",Sanitation,Critical
"Urgent issue reported: no road discipline near Ward C junction, drivers ignoring markings",Traffic,Medium
"Waste compost site near overbridge not maintained, rotting smell affecting residents",Waste Management,Medium
Drain gradient wrong near metro station causing water to flow backward onto road,Drainage,Medium
Complaint from resident: local shop dumping polythene bags near bank drain daily,Waste Management,Medium
Drain cleaning vehicle requested for near public garden area before upcoming monsoon,Drainage,Medium
Broken electric insulator on pole near Sector 12 sparking during rainfall,Electrical,High
"Manhole overflowing with sewage at Ward C residential area, children playing nearby",Drainage,Critical
Anti-social elements gambling openly near cremation ground temple road at night,Public Safety,Medium
Park boundary wall broken at near main market allowing encroachment,Public Safety,Medium
Speed guns needed at near stadium stretch where overspeeding is daily complaint,Traffic,Medium
"Dead animals thrown in drain near garbage depot, immediate removal needed",Sanitation,High
Water connection pipe near highway road vibrating loudly during supply hours,Water,Medium
"Dog bites reported near sports complex from a pack of strays, residents afraid",Public Safety,High
COVID waste disposal not happening at isolation centre near stadium,Sanitation,Critical
Sewage water standing near new colony school boundary for over a week,Drainage,High
Signal timing adjustment needed at near fire station roundabout,Traffic,Low
"Follow-up complaint: open sewer at Sector 12 during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
"Street dog carcass on road near slum area for 14 days, nobody removing it",Sanitation,High
"Streetlight at near police station glowing orange instead of white, likely failing",Electrical,Medium
"Repeated complaint about road construction near Ward G stopped midway 10 months ago, incomplete work causing hazard",Roads,High
Overflowing garbage dump near highway road school causing active health hazard,Sanitation,Critical
Request for reflective boundary markers near college park wall,Public Safety,Low
No awareness about bio-medical waste in Ward E area near clinic,Waste Management,Medium
Rotting vegetable waste near temple road market attracting pests and stray animals,Sanitation,High
Household garbage bags left on road at near fire station not being picked up for 2 days,Waste Management,High
Electric supply failure near Ward C for 7 hours during examinations,Electrical,High
Citizens request action on: leaking underground pipe near police station making road surface soft and sinking,Water,High
"Road washed away near river bridge river bridge, village completely cut off",Roads,Critical
Emergency ambulance stuck 40 minutes in traffic jam near children's park signal,Traffic,Critical
Sanitation worker complaint: not provided gloves or safety equipment at near industrial zone,Sanitation,Medium
"Water supply comes for only 20 minutes in near main market, insufficient for daily use",Water,High
"Ward representative reporting: waste compost site near public garden not maintained, rotting smell affecting residents",Waste Management,Medium
Damaged road divider at near college flyover causing wrong-way traffic risk,Roads,High
Household waste regularly thrown into drain at near flyover by nearby shops,Drainage,Medium
Electric supply failure near Sector 7 for 6 hours during examinations,Electrical,High
"Municipal water pressure test needed at near municipal office, residents getting almost no flow",Water,High
No awareness about bio-medical waste in Ward G area near clinic,Waste Management,Medium
Rag pickers leaving scattered waste near Ward G after sorting through bins,Sanitation,Medium
"Garbage bin near Ward G garden broken, needs replacement",Sanitation,Low
Small surface crack near new colony colony boundary wall needs minor repair,Roads,Low
Tractor blocking Ward D road during harvest season causing daily backup,Traffic,Medium
Rainwater outlet near children's park blocked by plastic waste for 3 weeks,Drainage,High
"Sewage visibly mixing into drinking water line near toll plaza, absolute health emergency",Water,Critical
"Woman felt followed near Sector 4 late at night, no patrol visible",Public Safety,High
Pedestrians forced to walk on road near municipal office because footpath completely broken,Roads,Medium
"Deep crater on highway near grain market causing severe vehicle accidents, ambulances blocked",Roads,Critical
Dust from near civil hospital road construction causing minor inconvenience to residents,Roads,Low
Electric wire touching tree in near municipal school area causing minor sparking at night,Electrical,Medium
Unsecured construction site near municipal office park accessible to children,Public Safety,High
"Footpath tiles at near college road heaving, causing pedestrian falls daily",Roads,High
Daily 2-hour traffic jam at near water tank due to road encroachment by vendors,Traffic,High
"Drain overflow sending raw sewage directly into homes in near railway station, health emergency",Drainage,Critical
Sanitation schedule not followed in near overbridge ward this week,Sanitation,Medium
Sanitation worker complaint: not provided gloves or safety equipment at Ward F,Sanitation,Medium
"Complaint from resident: dead animals thrown in drain near post office, immediate removal needed",Sanitation,High
Speed guns needed at Ward A stretch where overspeeding is daily complaint,Traffic,Medium
"Urgent issue reported: water available only at odd hours near Ward B, residents missing their work",Water,Medium
Complaint from resident: leaking underground pipe near vegetable market making road surface soft and sinking,Water,High
"Toxic industrial waste illegally dumped near Ward A water body, leaching confirmed",Waste Management,Critical
Toilet block near railway station park locked and inaccessible for months,Sanitation,High
Chemical factory waste disposed openly near stadium school without any treatment,Waste Management,Critical
"No road discipline near sewage treatment plant junction, drivers ignoring markings",Traffic,Medium
Minor weekend overflow at near bank park bin,Waste Management,Low
Exposed high-voltage wire at near old age home posing electrocution risk to pedestrians,Electrical,Critical
"Electric junction box near housing society submerged in rainwater, risk of electrocution",Electrical,Critical
No awareness about bio-medical waste in Ward A area near clinic,Waste Management,Medium
"Streetlight at near municipal school glowing orange instead of white, likely failing",Electrical,Medium
Biomedical waste from clinic dumped in open near old age home residential area,Waste Management,Critical
Sanitation worker complaint: not provided gloves or safety equipment at near overbridge,Sanitation,Medium
"Drunk driving incident near flyover last night, no police present",Public Safety,High
"Road gutter work left open near government hospital, no barricades or lights at night",Roads,High
"Road cave-in near garbage depot expanding every day, needs immediate patching",Roads,High
"No road discipline near slum area junction, drivers ignoring markings",Traffic,Medium
"Water available only at odd hours near toll plaza, residents missing their work",Water,Medium
Burning tyres near temple road causing black smoke pollution,Waste Management,High
"Road gutter work left open near grain market, no barricades or lights at night",Roads,High
"Burning smell from underground electrical duct near Sector 9 road, smoke visible",Electrical,Critical
Biomedical waste from clinic dumped in open near housing society residential area,Waste Management,Critical
Pedestrians forced to walk on road near garbage depot because footpath completely broken,Roads,Medium
New housing colony at near slum area has no water connection despite full occupancy,Water,Medium
"Ward representative reporting: waste compost site near Sector 7 not maintained, rotting smell affecting residents",Waste Management,Medium
Street vendor harassing women near temple road bus stand daily,Public Safety,Medium
"Water supply has been absent at near toll plaza for 5 days, families buying expensive tankers",Water,High
Water board complaint number not responding for issue at near primary school,Water,Medium
Tractor blocking near bank road during harvest season causing daily backup,Traffic,Medium
"Repeated complaint about open sewer at near water tank during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Road near overbridge underpass flooding during even moderate rainfall,Roads,High
"Violent mob gathering at near post office main road, police needed urgently",Public Safety,Critical
Demolition rubble blocking entire footpath near flyover for over a week,Waste Management,High
"Entire road surface disintegrated near stadium, multiple crashes today",Roads,Critical
Speed guns needed at near municipal school stretch where overspeeding is daily complaint,Traffic,Medium
Waste segregation rules not followed at near main market transfer station,Waste Management,High
Faint foul smell from drain near Sector 4 park in evenings only,Drainage,Low
Ongoing problem since days: pipe connection outside near community hall building dug up but not restored for 7 weeks,Water,Medium
Ongoing problem since days: broken electric insulator on pole near water tank sparking during rainfall,Electrical,High
"No road discipline near stadium junction, drivers ignoring markings",Traffic,Medium
Faded road markings on Ward A highway confusing drivers,Roads,Medium
"Road gutter work left open near slum area, no barricades or lights at night",Roads,High
Chain snatching incidents increasing weekly near railway station bus stand,Public Safety,High
Municipal cleaner reported absent for 2 days in near community hall zone,Sanitation,High
"Old building near bus stand showing cracks, collapse risk for pedestrians",Public Safety,High
Ongoing problem since days: local shop dumping polythene bags near slum area drain daily,Waste Management,Medium
Sewage water standing near Ward C school boundary for over a week,Drainage,High
Chemical factory waste disposed openly near sewage treatment plant school without any treatment,Waste Management,Critical
Repeated complaint about new housing colony at near toll plaza has no water connection despite full occupancy,Water,Medium
Burning tyres near river bridge causing black smoke pollution,Waste Management,High
Municipal cleaner reported absent for 4 days in near main market zone,Sanitation,High
Entire near water tank ward dark after 8 PM due to street lighting failure,Electrical,High
Damaged road divider at near overbridge flyover causing wrong-way traffic risk,Roads,High
Ward representative reporting: bumpy road surface near Ward E causing back pain complaints from daily commuters,Roads,Low
"Complaint from resident: streetlight at near railway station glowing orange instead of white, likely failing",Electrical,Medium
"No waste collection for 5 days in near children's park ward, dengue alert issued",Waste Management,High
"Water available only at odd hours near Sector 12, residents missing their work",Water,Medium
Household waste regularly thrown into drain at near sports complex by nearby shops,Drainage,Medium
Broken electric insulator on pole near Ward D sparking during rainfall,Electrical,High
Overflowing garbage dump near children's park school causing active health hazard,Sanitation,Critical
"Road construction near Ward A stopped midway 5 months ago, incomplete work causing hazard",Roads,High
"Drain near Sector 12 garden has minor debris, still flowing slowly",Drainage,Low
Pipeline explosion near bank left 3 streets completely flooded and waterless,Water,Critical
Open electrical panel near Sector 4 play area accessible to children,Public Safety,Critical
"Electric junction box near vegetable market submerged in rainwater, risk of electrocution",Electrical,Critical
"Complete water supply cut for 3 days in near fire station, families have no alternative source",Water,Critical
"Drain near Ward G used for illegal waste disposal, causing blockage",Drainage,Medium
"Trucks reversing on near college road without helper, hit a scooter yesterday",Traffic,High
"Road cave-in near main market expanding every day, needs immediate patching",Roads,High
"Underground water main burst at near cremation ground junction, colony dry since yesterday evening",Water,Critical
Water board complaint number not responding for issue at near overbridge,Water,Medium
No parking sign missing near petrol pump municipal building,Traffic,Low
"Bridge surface near water tank developed cracks, heavy vehicles still using it",Roads,Critical
"Electric junction box near water tank submerged in rainwater, risk of electrocution",Electrical,Critical
Street vendor harassing women near Ward H bus stand daily,Public Safety,Medium
Unsecured construction site near toll plaza park accessible to children,Public Safety,High
"Stench from uncollected garbage in near college unbearable, residents unable to open windows",Sanitation,High
"Street dog carcass on road near fire station for 6 days, nobody removing it",Sanitation,High
Dilapidated building near industrial zone market threatening pedestrians,Public Safety,Medium
"Armed robbery at near flyover ATM at midnight, area unlit and unpatrolled",Public Safety,Critical
Massive illegal dump near Sector 4 blocking natural drainage channel,Waste Management,Critical
Ward representative reporting: sanitation worker complaint: not provided gloves or safety equipment at near fire station,Sanitation,Medium
Hawkers occupying half the road near main market bus stand,Traffic,Medium
"Ongoing problem since days: drunk driving incident near railway station last night, no police present",Public Safety,High
"Citizens request action on: street dog carcass on road near housing society for 14 days, nobody removing it",Sanitation,High
School van almost hit due to blind turn near flyover without any mirror,Traffic,High
Stray cattle blocking road near Ward C residential colony,Public Safety,Medium
Chemical factory waste disposed openly near college school without any treatment,Waste Management,Critical
Critical issue: pedestrians forced to walk on road near metro station because footpath completely broken,Roads,Medium
"Follow-up complaint: woman felt followed near municipal school late at night, no patrol visible",Public Safety,High
Household garbage bags left on road at near slum area not being picked up for 14 days,Waste Management,High
Residents in near overbridge relying on private tankers due to inconsistent municipal supply,Water,Medium
Sewer line blocked near Ward B causing wet patches in the road surface,Drainage,High
Open garbage burning near petrol pump causing air quality complaints,Waste Management,High
Request to set up new water connection in near primary school residential colony,Water,Low
Burning tyres near highway road causing black smoke pollution,Waste Management,High
Ward representative reporting: rag pickers leaving scattered waste near Ward B after sorting through bins,Sanitation,Medium
"Pothole formed due to water pipe burst near garbage depot bus stop, vehicle damage reported",Water,High
"Municipal water pressure test needed at Sector 7, residents getting almost no flow",Water,High
Freshly built road at Ward C already showing large cracks after 2 months,Roads,High
Footpath blocked by construction material near Sector 4 forcing pedestrians onto road,Roads,Medium
Broken electric insulator on pole near overbridge sparking during rainfall,Electrical,High
Water board complaint number not responding for issue at Ward G,Water,Medium
No awareness about bio-medical waste in Sector 7 area near clinic,Waste Management,Medium
